1 0.000074 2.743423
2 0.000073 2.650596
3 0.000055 2.366953
4 0.000056 2.294248
5 0.000056 2.034313
6 0.000074 1.987147
7 0.000074 1.753117
8 0.000074 1.731147
9 0.000073 1.520897
10 0.000074 1.520897
11 0.000074 1.520897
12 0.000092 1.520897
13 0.000129 1.520897
14 0.000074 1.520897
15 0.000129 1.520897
16 0.000092 1.520897
1 0.000701 3.101602
2 0.000368 3.091609
3 0.000258 3.061627
4 0.000203 3.051658
5 0.000184 3.021708
6 0.000166 3.011779
7 0.000166 2.981876
8 0.000147 2.972003
9 0.000203 2.942163
10 0.000129 2.932360
11 0.000110 2.902599
12 0.000129 2.892883
13 0.000111 2.863215
14 0.000184 2.853598
15 0.000129 2.824038
16 0.000147 2.814537
1 0.006783 3.137593
2 0.003410 3.136593
3 0.002285 3.133593
4 0.001714 3.132593
5 0.001383 3.129593
6 0.001161 3.128593
7 0.001014 3.125593
8 0.000903 3.124593
9 0.000811 3.121593
10 0.000774 3.120594
11 0.000682 3.117594
12 0.000627 3.116594
13 0.000590 3.113594
14 0.000553 3.112595
15 0.000535 3.109595
16 0.000517 3.108596
1 0.067643 3.141193
2 0.033674 3.141093
3 0.022413 3.140793
4 0.016810 3.140693
5 0.013492 3.140393
6 0.011225 3.140293
7 0.009621 3.139993
8 0.008405 3.139893
9 0.007501 3.139593
10 0.006765 3.139493
11 0.006212 3.139193
12 0.005659 3.139093
13 0.005290 3.138793
14 0.004866 3.138693
15 0.004627 3.138393
16 0.004276 3.138293
1 0.677851 3.141553
2 0.337276 3.141543
3 0.224513 3.141513
4 0.168223 3.141503
5 0.134550 3.141473
6 0.112082 3.141463
7 0.096046 3.141433
8 0.084047 3.141423
9 0.074684 3.141393
10 0.067219 3.141383
11 0.061119 3.141353
12 0.056050 3.141343
13 0.051718 3.141313
14 0.048069 3.141303
15 0.044825 3.141273
16 0.042042 3.141263
1 6.793482 3.141589
2 3.380171 3.141588
3 2.249626 3.141585
4 1.685809 3.141584
5 1.347907 3.141581
6 1.122896 3.141580
7 0.962248 3.141577
8 0.841836 3.141576
9 0.748186 3.141573
10 0.673281 3.141572
11 0.612014 3.141569
12 0.560997 3.141568
13 0.517812 3.141565
14 0.480819 3.141564
15 0.448730 3.141561
16 0.420715 3.141560
